activity_id,date,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,cadence,stride_length_cm,vertical_oscillation,ground_contact_time,elevation_gain,elevation_loss,aerobic_te,anaerobic_te,vo2_max,calories,workload,acute,chronic,acwr
22033448234,2026-03-02 11:10:43,running,10.01,58.2,5.81,163.0,174.0,0,103.5,9.1,265.70001220703125,212.32720947265625,200.09979248046875,3.799999952316284,0.0,50.0,734.0,16.3163,13.03647142857143,8.598317857142856,1.516165329680349
22043636429,2026-03-03 09:24:43,running,5.38,31.03,5.77,158.0,172.0,0,103.0,8.980000305175782,262.29998779296875,96.09906005859375,91.39208984375,3.200000047683716,0.0,50.0,390.0,8.5004,12.603042857142857,8.901903571428571,1.4157694201039666
22054808787,2026-03-04 07:30:23,running,7.51,43.8,5.83,162.0,174.0,0,101.2,8.790000152587892,260.0,97.2166748046875,91.8157958984375,3.5,0.0,50.0,559.0,12.1662,12.766585714285714,9.336410714285714,1.367397611884347
22070657934,2026-03-05 15:27:40,walking,5.54,63.48,11.46,96.0,118.0,0,80.7,0.0,0.0,81.29998779296875,77.35675048828125,1.0,0.0,51.0,336.0,5.3184,11.661057142857144,9.52635357142857,1.2240840165570774
22078114194,2026-03-06 08:56:48,running,8.22,47.04,5.72,158.0,176.0,0,103.7,9.0,261.6000061035156,168.87457275390625,163.66766357421875,3.5999999046325684,0.0,51.0,599.0,12.987600000000002,12.276171428571429,9.778639285714288,1.2554069201126798
22088608263,2026-03-07 09:43:04,running,12.01,71.41,5.95,162.0,175.0,0,99.8,8.780000305175781,262.6000061035156,230.54986572265625,222.62347412109375,3.9000000953674316,0.0,51.0,900.0,19.456200000000003,12.984771428571431,10.473503571428571,1.239773428253133
22104755613,2026-03-08 16:02:43,running,7.48,42.52,5.68,163.0,185.0,0,103.8,8.95999984741211,260.0,140.8660888671875,130.552734375,3.5,0.0,51.0,552.0,12.1924,12.419642857142858,10.51315,1.1813436369825274
22114702438,2026-03-09 15:54:22,running,1.6,16.09,10.06,118.0,135.0,0,78.5,7.1000000000000005,297.3999938964844,20.2996826171875,20.37811279296875,0.699999988079071,0.0,0.0,113.0,1.888,10.358457142857144,10.10755357142857,1.0248233729018081
22115518298,2026-03-09 16:58:56,walking,3.59,40.76,11.35,94.0,121.0,0,80.5,0.0,0.0,54.5115966796875,46.963134765625,0.699999988079071,0.0,51.0,222.0,3.3745999999999996,9.6262,9.945367857142857,0.9679078882020812
22122449406,2026-03-10 07:34:14,running,10.46,62.05,5.93,153.0,171.0,0,98.8,8.680000305175781,261.3999938964844,198.99029541015625,195.0472412109375,3.5,0.0,51.0,750.0,16.003800000000002,10.174428571428573,10.216332142857143,0.9958983742068461
22139640477,2026-03-11 17:36:09,running,8.02,46.4,5.79,158.0,173.0,0,102.4,8.930000305175781,262.0,133.6590576171875,146.3482666015625,3.4000000953674316,0.0,51.0,586.0,12.6716,11.224885714285715,10.379025,1.0814971265880673
22150569452,2026-03-12 17:06:52,walking,4.77,66.88,14.02,92.0,136.0,0,78.0,0.0,0.0,79.06048583984375,77.46417236328125,0.800000011920929,0.0,51.0,314.0,4.3884,9.996428571428572,10.516467857142857,0.950550004737468
22157346248,2026-03-13 10:17:34,running,8.01,45.53,5.68,163.0,176.0,0,105.5,9.15999984741211,263.20001220703125,136.6478271484375,153.084716796875,3.5999999046325684,0.0,51.0,592.0,13.056299999999998,9.082157142857143,10.823560714285716,0.83910991794686
22166893645,2026-03-14 08:52:55,running,14.01,87.63,6.25,162.0,174.0,0,95.8,8.719999694824219,269.8999938964844,249.112060546875,241.0875244140625,3.9000000953674316,0.0,51.0,1069.0,22.6962,10.5827,11.342485714285713,0.9330141793056197
22183482847,2026-03-15 17:11:50,running,5.02,29.44,5.86,157.0,170.0,0,101.8,9.01999969482422,266.1000061035156,94.86456298828125,88.48504638671875,3.0,0.0,51.0,370.0,7.881399999999999,11.4389,11.591092857142858,0.9868698440243217
22199245997,2026-03-17 07:59:31,running,6.53,38.1,5.83,159.0,173.0,0,101.1,8.830000305175782,261.5,125.45587158203125,118.75042724609375,3.299999952316284,0.0,51.0,488.0,10.382700000000002,12.440057142857142,11.601689285714286,1.072262567674104
